ids, Subsector , Gas , Edgar_Class , Edgar_Subsector , Edgar_Sector ,ignore,note,need_better_information_on_what_is_contained, Vars 
53:ippu:sf6,ippu,sf6,IN - Industrial Processes:SF6,IN - Industrial Processes,Industrial Processes,,,,emission_co2e_sf6_ippu_production_chemicals:emission_co2e_sf6_ippu_production_electronics:emission_co2e_sf6_ippu_production_metals:emission_co2e_sf6_ippu_production_other_product_manufacturing
54:waso:co2,waso,co2,Waste - Solid Waste:CO2,Waste - Solid Waste,Waste,,,,emission_co2e_co2_waso_incineration
55:waso:ch4,waso,ch4,Waste - Solid Waste:CH4,Waste - Solid Waste,Waste,,,,emission_co2e_ch4_waso_biogas_food:emission_co2e_ch4_waso_biogas_sludge:emission_co2e_ch4_waso_biogas_yard:emission_co2e_ch4_waso_compost_food:emission_co2e_ch4_waso_compost_sludge:emission_co2e_ch4_waso_compost_yard:emission_co2e_ch4_waso_incineration:emission_co2e_ch4_waso_landfilled_chemical_industrial:emission_co2e_ch4_waso_landfilled_food:emission_co2e_ch4_waso_landfilled_glass:emission_co2e_ch4_waso_landfilled_metal:emission_co2e_ch4_waso_landfilled_nappies:emission_co2e_ch4_waso_landfilled_other:emission_co2e_ch4_waso_landfilled_paper:emission_co2e_ch4_waso_landfilled_plastic:emission_co2e_ch4_waso_landfilled_rubber_leather:emission_co2e_ch4_waso_landfilled_sludge:emission_co2e_ch4_waso_landfilled_textiles:emission_co2e_ch4_waso_landfilled_wood:emission_co2e_ch4_waso_landfilled_yard:emission_co2e_ch4_waso_open_dump_chemical_industrial:emission_co2e_ch4_waso_open_dump_food:emission_co2e_ch4_waso_open_dump_glass:emission_co2e_ch4_waso_open_dump_metal:emission_co2e_ch4_waso_open_dump_nappies:emission_co2e_ch4_waso_open_dump_other:emission_co2e_ch4_waso_open_dump_paper:emission_co2e_ch4_waso_open_dump_plastic:emission_co2e_ch4_waso_open_dump_rubber_leather:emission_co2e_ch4_waso_open_dump_sludge:emission_co2e_ch4_waso_open_dump_textiles:emission_co2e_ch4_waso_open_dump_wood:emission_co2e_ch4_waso_open_dump_yard
56:waso:n2o,waso,n2o,Waste - Solid Waste:N2O,Waste - Solid Waste,Waste,,,,emission_co2e_n2o_waso_compost_food:emission_co2e_n2o_waso_compost_sludge:emission_co2e_n2o_waso_compost_yard:emission_co2e_n2o_waso_incineration
57:trww:ch4,trww,ch4,Waste - Wastewater Treatment:CH4,Waste - Wastewater Treatment,Waste,,,,emission_co2e_ch4_trww_treated_advanced_aerobic_treatment:emission_co2e_ch4_trww_treated_advanced_anaerobic_treatment:emission_co2e_ch4_trww_treated_latrine_improved_treatment:emission_co2e_ch4_trww_treated_latrine_unimproved_treatment:emission_co2e_ch4_trww_treated_primary_treatment:emission_co2e_ch4_trww_treated_secondary_aerobic_treatment:emission_co2e_ch4_trww_treated_secondary_anaerobic_treatment:emission_co2e_ch4_trww_treated_septic_treatment:emission_co2e_ch4_trww_untreated_no_sewerage_treatment:emission_co2e_ch4_trww_untreated_with_sewerage_treatment
58:trww:n2o,trww,n2o,Waste - Wastewater Treatment:N2O,Waste - Wastewater Treatment,Waste,,,,emission_co2e_n2o_trww_treated_advanced_aerobic_effluent:emission_co2e_n2o_trww_treated_advanced_aerobic_treatment:emission_co2e_n2o_trww_treated_advanced_anaerobic_effluent:emission_co2e_n2o_trww_treated_advanced_anaerobic_treatment:emission_co2e_n2o_trww_treated_latrine_improved_effluent:emission_co2e_n2o_trww_treated_latrine_improved_treatment:emission_co2e_n2o_trww_treated_latrine_unimproved_effluent:emission_co2e_n2o_trww_treated_latrine_unimproved_treatment:emission_co2e_n2o_trww_treated_primary_effluent:emission_co2e_n2o_trww_treated_primary_treatment:emission_co2e_n2o_trww_treated_secondary_aerobic_effluent:emission_co2e_n2o_trww_treated_secondary_aerobic_treatment:emission_co2e_n2o_trww_treated_secondary_anaerobic_effluent:emission_co2e_n2o_trww_treated_secondary_anaerobic_treatment:emission_co2e_n2o_trww_treated_septic_effluent:emission_co2e_n2o_trww_treated_septic_treatment:emission_co2e_n2o_trww_untreated_no_sewerage_effluent:emission_co2e_n2o_trww_untreated_no_sewerage_treatment:emission_co2e_n2o_trww_untreated_with_sewerage_effluent:emission_co2e_n2o_trww_untreated_with_sewerage_treatment
66:ccsq:ch4,ccsq,ch4,CCSQ:CH4,CCSQ,CCSQ,,,,emission_co2e_ch4_ccsq_direct_air_capture
67:ccsq:co2,ccsq,co2,CCSQ:CO2,CCSQ,CCSQ,,,,emission_co2e_co2_ccsq_direct_air_capture
68:ccsq:n2o,ccsq,n2o,CCSQ:N2O,CCSQ,CCSQ,,,,emission_co2e_n2o_ccsq_direct_air_capture
69:frst:total,frst,,,,"Land Use, Land Use Change, and Forestry",,,,emission_co2e_co2_frst_sequestration_mangroves:emission_co2e_co2_frst_sequestration_primary:emission_co2e_co2_frst_sequestration_secondary
